"penetration","EV","HE_per_bet","HE_per_hand","ROI","bet"
0.5,-0.058575,0.0333487053357929,0.058575,-0.0333487053357929,1.75644
0.75,-0.065315,0.029846142597983,0.065315,-0.029846142597983,2.18839
0.9,-0.02682,0.0111482905538813,0.02682,-0.0111482905538813,2.40575
