"strategija","EV_per_hand","HE_per_hand","HE_per_bet","ROI","avg_bet"
"Demo / random",-0.037238,0.037238,0.037238,-0.037238,1
"Basic (shoe)",-0.040783,0.040783,0.035374611085716,-0.035374611085716,1.152889
"Hi-Lo (shoe + spread)",-0.055703,0.055703,0.0256046885773385,-0.0256046885773385,2.1755
