"can_double","EV","HE_per_bet","HE_per_hand","ROI","double_rate"
"ON",-0.036305,0.016472920977168,0.036305,-0.016472920977168,0.15289
"OFF",-0.029185,0.0154840729186562,0.029185,-0.0154840729186562,0
