"surrender","EV","HE","HE_per_hand","ROI","surrender_rate"
"ON",-0.056645,0.0262517610855702,0.056645,-0.0262517610855702,0.07794
"OFF",-0.064545,0.0299681027398214,0.064545,-0.0299681027398214,0
