player_group,player_total,pair_rank,dealer_up,action
pair,NA,7,6,P
pair,NA,7,7,P
pair,NA,7,8,H
pair,NA,7,9,H
pair,NA,7,10,H
pair,NA,7,11,H
pair,NA,8,2,P
pair,NA,8,3,P
pair,NA,8,4,P
pair,NA,8,5,P
pair,NA,8,6,P
pair,NA,8,7,P
pair,NA,8,8,P
pair,NA,8,9,P
pair,NA,8,10,P
pair,NA,8,11,P
pair,NA,9,2,P
pair,NA,9,3,P
pair,NA,9,4,P
pair,NA,9,5,P
pair,NA,9,6,P
pair,NA,9,7,S
pair,NA,9,8,P
pair,NA,9,9,P
pair,NA,9,10,S
pair,NA,9,11,S
pair,NA,10,2,S
pair,NA,10,3,S
pair,NA,10,4,S
pair,NA,10,5,S
pair,NA,10,6,S
pair,NA,10,7,S
pair,NA,10,8,S
pair,NA,10,9,S
pair,NA,10,10,S
pair,NA,10,11,S
pair,NA,11,2,P
pair,NA,11,3,P
pair,NA,11,4,P
pair,NA,11,5,P
pair,NA,11,6,P
pair,NA,11,7,P
pair,NA,11,8,P
pair,NA,11,9,P
pair,NA,11,10,P
pair,NA,11,11,P
